id,qr_code_url,machine_id,is_used,created_at
212,qrcodes/qr_212.png,,f,2025-04-22 09:47:08.596991+03
213,qrcodes/qr_213.png,,f,2025-04-22 09:47:08.605353+03
214,qrcodes/qr_214.png,,f,2025-04-22 09:47:08.614396+03
215,qrcodes/qr_215.png,,f,2025-04-22 09:47:08.622985+03
216,qrcodes/qr_216.png,,f,2025-04-22 09:47:08.63174+03
217,qrcodes/qr_217.png,,f,2025-04-22 09:47:08.640652+03
218,qrcodes/qr_218.png,,f,2025-04-22 09:47:08.649464+03
219,qrcodes/qr_219.png,,f,2025-04-22 09:47:08.658092+03
220,qrcodes/qr_220.png,,f,2025-04-22 09:47:08.666518+03
221,qrcodes/qr_221.png,,f,2025-04-22 09:47:08.675799+03
222,qrcodes/qr_222.png,,f,2025-04-22 09:47:08.684558+03
223,qrcodes/qr_223.png,,f,2025-04-22 09:47:08.693251+03
224,qrcodes/qr_224.png,,f,2025-04-22 09:47:08.701838+03
225,qrcodes/qr_225.png,,f,2025-04-22 09:47:08.710744+03
226,qrcodes/qr_226.png,,f,2025-04-22 09:47:08.719375+03
227,qrcodes/qr_227.png,,f,2025-04-22 09:47:08.728005+03
228,qrcodes/qr_228.png,,f,2025-04-22 09:47:08.73744+03
229,qrcodes/qr_229.png,,f,2025-04-22 09:47:08.746959+03
230,qrcodes/qr_230.png,,f,2025-04-22 09:47:08.757074+03
231,qrcodes/qr_231.png,,f,2025-04-22 09:47:08.765939+03
232,qrcodes/qr_232.png,,f,2025-04-22 09:47:08.774469+03
233,qrcodes/qr_233.png,,f,2025-04-22 09:47:08.783503+03
234,qrcodes/qr_234.png,,f,2025-04-22 09:47:08.791991+03
235,qrcodes/qr_235.png,,f,2025-04-22 09:47:08.800847+03
236,qrcodes/qr_236.png,,f,2025-04-22 09:47:08.809963+03
237,qrcodes/qr_237.png,,f,2025-04-22 09:47:08.818495+03
238,qrcodes/qr_238.png,,f,2025-04-22 09:47:08.827554+03
239,qrcodes/qr_239.png,,f,2025-04-22 09:47:08.836187+03
240,qrcodes/qr_240.png,,f,2025-04-22 09:47:08.844694+03
241,qrcodes/qr_241.png,,f,2025-04-22 09:47:08.853568+03
242,qrcodes/qr_242.png,,f,2025-04-22 09:47:08.862777+03
243,qrcodes/qr_243.png,,f,2025-04-22 09:47:08.871263+03
244,qrcodes/qr_244.png,,f,2025-04-22 09:47:08.880922+03
245,qrcodes/qr_245.png,,f,2025-04-22 09:47:08.890652+03
246,qrcodes/qr_246.png,,f,2025-04-22 09:47:08.899339+03
247,qrcodes/qr_247.png,,f,2025-04-22 09:47:08.909059+03
248,qrcodes/qr_248.png,,f,2025-04-22 09:47:08.920158+03
249,qrcodes/qr_249.png,,f,2025-04-22 09:47:08.930362+03
250,qrcodes/qr_250.png,,f,2025-04-22 09:47:08.940689+03
251,qrcodes/qr_251.png,,f,2025-04-22 09:47:08.952583+03
252,qrcodes/qr_252.png,,f,2025-04-22 09:47:08.962108+03
253,qrcodes/qr_253.png,,f,2025-04-22 09:47:08.970925+03
254,qrcodes/qr_254.png,,f,2025-04-22 09:47:08.979389+03
255,qrcodes/qr_255.png,,f,2025-04-22 09:47:08.988409+03
256,qrcodes/qr_256.png,,f,2025-04-22 09:47:08.997362+03
257,qrcodes/qr_257.png,,f,2025-04-22 09:47:09.005607+03
258,qrcodes/qr_258.png,,f,2025-04-22 09:47:09.014401+03
259,qrcodes/qr_259.png,,f,2025-04-22 09:47:09.023305+03
260,qrcodes/qr_260.png,,f,2025-04-22 09:47:09.031816+03
261,qrcodes/qr_261.png,,f,2025-04-22 09:47:09.040883+03
262,qrcodes/qr_262.png,,f,2025-04-22 09:47:09.049674+03
263,qrcodes/qr_263.png,,f,2025-04-22 09:47:09.058206+03
264,qrcodes/qr_264.png,,f,2025-04-22 09:47:09.066858+03
